"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0307Rf_20110905_1551","20110905_1551","RuBsAdDlb3Mxtshcn20210211",3162.7,3297.6,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110905_1551_cnt.png"
"RC0307Rf_20110906_0751","20110906_0751","RuBsAdDlb3Mxtshcn20210211",3168.17,3292.13,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110906_0751_cnt.png"
"RC0307Rf_20110906_0951","20110906_0951","RuBsAdDlb3Mxtshcn20210211",3180.94,3308.55,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110906_0951_cnt.png"
"RC0307Rf_20110906_1151","20110906_1151","RuBsAdDlb3Mxtshcn20210211",3146.33,3290.33,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110906_1151_cnt.png"
"RC0307Rf_20110906_1351","20110906_1351","RuBsAdDlb3Mxtshcn20210211",3113.5,3253.86,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110906_1351_cnt.png"
"RC0307Rf_20110906_1551","20110906_1551","RuBsAdDlb3Mxtshcn20210211",2971.28,3009.57,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110906_1551_cnt.png"
"RC0307Rf_20110907_0751","20110907_0751","RuBsAdDlb3Mxtshcn20210211",3208.27,3290.3,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110907_0751_cnt.png"
"RC0307Rf_20110907_0951","20110907_0951","RuBsAdDlb3Mxtshcn20210211",3193.7,3301.25,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110907_0951_cnt.png"
"RC0307Rf_20110907_1151","20110907_1151","RuBsAdDlb3Mxtshcn20210211",3159.08,3295.8,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110907_1151_cnt.png"
"RC0307Rf_20110907_1351","20110907_1351","RuBsAdDlb3Mxtshcn20210211",3077.05,3219.23,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110907_1351_cnt.png"
"RC0307Rf_20110908_0951","20110908_0951","RuBsAdDlb3Mxtshcn20210211",3120.75,3242.89,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110908_0951_cnt.png"
"RC0307Rf_20110908_1351","20110908_1351","RuBsAdDlb3Mxtshcn20210211",2734.34,2854.65,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110908_1351_cnt.png"
"RC0307Rf_20110909_0951","20110909_0951","RuBsAdDlb3Mxtshcn20210211",3025.96,3175.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110909_0951_cnt.png"
