"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0220Ra_20130312_1551","20130312_1551","RuBsAdDlb3Mxtshcn20210211",1359.53,2078.04,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130312_1551_cnt.png"
"RC0220Ra_20130313_1551","20130313_1551","RuBsAdDlb3Mxtshcn20210211",1295.92,1974.46,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130313_1551_cnt.png"
"RC0220Ra_20130314_0751","20130314_0751","RuBsAdDlb3Mxtshcn20210211",1649.05,2361.84,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130314_0751_cnt.png"
"RC0220Ra_20130315_0751","20130315_0751","RuBsAdDlb3Mxtshcn20210211",1630.29,2412.4,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130315_0751_cnt.png"
"RC0220Ra_20130316_0751","20130316_0751","RuBsAdDlb3Mxtshcn20210211",1615.62,2451.56,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130316_0751_cnt.png"
"RC0220Ra_20130316_1351","20130316_1351","RuBsAdDlb3Mxtshcn20210211",1715.11,2500.49,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130316_1351_cnt.png"
"RC0220Ra_20130318_0951","20130318_0951","RuBsAdDlb3Mxtshcn20210211",2560.02,2842.21,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130318_0951_cnt.png"
"RC0220Ra_20130318_1551","20130318_1551","RuBsAdDlb3Mxtshcn20210211",1298.36,1949.17,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130318_1551_cnt.png"
"RC0220Ra_20130319_0951","20130319_0951","RuBsAdDlb3Mxtshcn20210211",1865.16,2493.94,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130319_0951_cnt.png"
"RC0220Ra_20130319_1151","20130319_1151","RuBsAdDlb3Mxtshcn20210211",1663.72,2466.22,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130319_1151_cnt.png"
