"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC1459L_20110123_1345","20110123_1345","RuBsAdDlb3Mxtshcn20210211",542.63,713.82,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110123_1345_cnt.png"
"RC1459L_20110123_1545","20110123_1545","RuBsAdDlb3Mxtshcn20210211",522.64,697.03,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110123_1545_cnt.png"
"RC1459L_20110124_0745","20110124_0745","RuBsAdDlb3Mxtshcn20210211",709.3,939.29,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110124_0745_cnt.png"
"RC1459L_20110124_0944","20110124_0944","RuBsAdDlb3Mxtshcn20210211",698.33,924.39,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110124_0944_cnt.png"
"RC1459L_20110124_1144","20110124_1144","RuBsAdDlb3Mxtshcn20210211",564.61,578.17,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110124_1144_cnt.png"
"RC1459L_20110124_1344","20110124_1344","RuBsAdDlb3Mxtshcn20210211",529.7,695.09,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110124_1344_cnt.png"
"RC1459L_20110124_1544","20110124_1544","RuBsAdDlb3Mxtshcn20210211",505.2,673.14,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110124_1544_cnt.png"
"RC1459L_20110125_0744","20110125_0744","RuBsAdDlb3Mxtshcn20210211",676.36,896.64,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110125_0744_cnt.png"
"RC1459L_20110125_0944","20110125_0944","RuBsAdDlb3Mxtshcn20210211",590.46,779.72,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110125_0944_cnt.png"
"RC1459L_20110125_1144","20110125_1144","RuBsAdDlb3Mxtshcn20210211",424.43,427.0,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110125_1144_cnt.png"
"RC1459L_20110125_1344","20110125_1344","RuBsAdDlb3Mxtshcn20210211",466.41,632.42,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110125_1344_cnt.png"
"RC1459L_20110125_1544","20110125_1544","RuBsAdDlb3Mxtshcn20210211",427.04,591.76,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110125_1544_cnt.png"
"RC1459L_20110126_0744","20110126_0744","RuBsAdDlb3Mxtshcn20210211",638.24,846.9,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110126_0744_cnt.png"
"RC1459L_20110126_0944","20110126_0944","RuBsAdDlb3Mxtshcn20210211",502.61,691.21,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110126_0944_cnt.png"
"RC1459L_20110126_1144","20110126_1144","RuBsAdDlb3Mxtshcn20210211",341.09,348.84,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110126_1144_cnt.png"
"RC1459L_20110126_1344","20110126_1344","RuBsAdDlb3Mxtshcn20210211",459.29,621.43,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110126_1344_cnt.png"
"RC1459L_20110126_1544","20110126_1544","RuBsAdDlb3Mxtshcn20210211",439.3,602.06,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110126_1544_cnt.png"
"RC1459L_20110127_0744","20110127_0744","RuBsAdDlb3Mxtshcn20210211",674.42,896.0,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110127_0744_cnt.png"
"RC1459L_20110127_0944","20110127_0944","RuBsAdDlb3Mxtshcn20210211",517.47,712.56,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110127_0944_cnt.png"
"RC1459L_20110127_1344","20110127_1344","RuBsAdDlb3Mxtshcn20210211",456.07,619.51,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110127_1344_cnt.png"
"RC1459L_20110127_1544","20110127_1544","RuBsAdDlb3Mxtshcn20210211",427.0,595.6,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110127_1544_cnt.png"
"RC1459L_20110128_0744","20110128_0744","RuBsAdDlb3Mxtshcn20210211",686.06,907.64,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110128_0744_cnt.png"
"RC1459L_20110128_1144","20110128_1144","RuBsAdDlb3Mxtshcn20210211",376.62,386.32,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110128_1144_cnt.png"
"RC1459L_20110128_1344","20110128_1344","RuBsAdDlb3Mxtshcn20210211",456.73,609.83,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110128_1344_cnt.png"
"RC1459L_20110128_1544","20110128_1544","RuBsAdDlb3Mxtshcn20210211",417.96,582.03,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110128_1544_cnt.png"
"RC1459L_20110129_0744","20110129_0744","RuBsAdDlb3Mxtshcn20210211",689.93,910.24,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110129_0744_cnt.png"
"RC1459L_20110129_0944","20110129_0944","RuBsAdDlb3Mxtshcn20210211",557.5,767.43,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110129_0944_cnt.png"
"RC1459L_20110129_1344","20110129_1344","RuBsAdDlb3Mxtshcn20210211",452.2,616.28,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110129_1344_cnt.png"
"RC1459L_20110129_1544","20110129_1544","RuBsAdDlb3Mxtshcn20210211",403.75,569.1,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110129_1544_cnt.png"
"RC1459L_20110130_0744","20110130_0744","RuBsAdDlb3Mxtshcn20210211",719.64,947.04,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110130_0744_cnt.png"
"RC1459L_20110130_0944","20110130_0944","RuBsAdDlb3Mxtshcn20210211",688.0,883.1,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110130_0944_cnt.png"
"RC1459L_20110130_1344","20110130_1344","RuBsAdDlb3Mxtshcn20210211",520.69,704.14,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110130_1344_cnt.png"
"RC1459L_20110130_1544","20110130_1544","RuBsAdDlb3Mxtshcn20210211",512.27,702.82,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110130_1544_cnt.png"
"RC1459L_20110131_0744","20110131_0744","RuBsAdDlb3Mxtshcn20210211",746.13,948.3,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110131_0744_cnt.png"
"RC1459L_20110131_0944","20110131_0944","RuBsAdDlb3Mxtshcn20210211",711.24,896.63,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110131_0944_cnt.png"
"RC1459L_20110131_1144","20110131_1144","RuBsAdDlb3Mxtshcn20210211",572.36,581.4,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110131_1144_cnt.png"
"RC1459L_20110131_1344","20110131_1344","RuBsAdDlb3Mxtshcn20210211",512.93,678.93,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110131_1344_cnt.png"
"RC1459L_20110131_1544","20110131_1544","RuBsAdDlb3Mxtshcn20210211",484.52,653.09,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110131_1544_cnt.png"
"RC1459L_20110201_0744","20110201_0744","RuBsAdDlb3Mxtshcn20210211",678.31,907.0,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110201_0744_cnt.png"
"RC1459L_20110201_0944","20110201_0944","RuBsAdDlb3Mxtshcn20210211",558.16,759.04,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110201_0944_cnt.png"
"RC1459L_20110201_1144","20110201_1144","RuBsAdDlb3Mxtshcn20210211",474.81,638.23,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110201_1144_cnt.png"
"RC1459L_20110201_1344","20110201_1344","RuBsAdDlb3Mxtshcn20210211",455.43,640.15,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110201_1344_cnt.png"
